Playoff,G,MP,FG,FGA,FGA_G,Fgper,Three_P,Three_P_G,Three_PA,Three_PA_G,Three_Pper,Two_P,Two_P_G,Two_PA,Two_PA_G,Two_Pper,FT,FT_G,FTA,FTA_G,Ftper,ORB,ORB_G,DRB,DRB_G,TRB,TRB_G,AST,STL,STL_G,BLK,BLK_G,TOV,TOV_G,PF,PTS,PTS_G,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,Tsper,eFGper,TOVper,ORBper,FT_FGA,eFGperOp,TOVperOp,DRBperDef,FT_FGA_Op
0,82,19705,3139,6980,85.12195122,0.45,774,9.43902439,2032,24.7804878,0.381,2365,28.84146341,4948,60.34146341,0.478,1390,16.95121951,1835,22.37804878,0.757,745,9.085365854,2620,31.95121951,3365,41.03658537,2006,611,7.451219512,446,5.43902439,1239,15.1097561,1627,8442,103,26.8,25,57,-6.29,0.96,-5.33,104.2,110.6,98.7,0.263,0.291,0.542,0.505,13.7,20.2,0.199,0.513,12.4,71,0.192
1,82,19805,3122,6723,81.98780488,0.464,405,4.93902439,1147,13.98780488,0.353,2717,33.13414634,5576,68,0.487,1235,15.06097561,1666,20.31707317,0.741,950,11.58536585,2526,30.80487805,3476,42.3902439,1792,631,7.695121951,375,4.573170732,1124,13.70731707,1568,7884,96.1,28.5,46,36,1.57,0.61,2.18,106.3,104.6,89.9,0.248,0.171,0.529,0.494,13.1,28.3,0.184,0.497,13.8,75.7,0.199
1,82,19880,3142,6272,76.48780488,0.501,665,8.109756098,1829,22.30487805,0.364,2477,30.20731707,4443,54.18292683,0.558,1431,17.45121951,1884,22.97560976,0.76,627,7.646341463,2397,29.23170732,3024,36.87804878,1847,732,8.926829268,367,4.475609756,1212,14.7804878,1596,8380,102.2,30.6,54,28,4.76,-0.61,4.15,110.9,105.8,91.2,0.3,0.292,0.59,0.554,14.6,20.6,0.228,0.511,15.8,73,0.212
0,82,19880,2952,6737,82.15853659,0.438,548,6.682926829,1553,18.93902439,0.353,2404,29.31707317,5184,63.2195122,0.464,1377,16.79268293,1843,22.47560976,0.747,971,11.84146341,2399,29.25609756,3370,41.09756098,1760,541,6.597560976,403,4.914634146,1238,15.09756098,1713,7829,95.5,24.7,20,62,-8.18,-0.23,-8.41,103,111.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225
0,82,19855,3189,7175,87.5,0.444,600,7.317073171,1757,21.42682927,0.341,2589,31.57317073,5418,66.07317073,0.478,1790,21.82926829,2301,28.06097561,0.778,1024,12.48780488,2644,32.24390244,3668,44.73170732,1963,718,8.756097561,297,3.62195122,1142,13.92682927,1504,8768,106.9,26.3,48,34,2.67,0.43,3.1,108.9,106.2,97.3,0.321,0.245,0.535,0.486,12.2,27.4,0.249,0.518,14.8,74.4,0.177
0,82,19855,3101,6761,82.45121951,0.459,486,5.926829268,1303,15.8902439,0.373,2615,31.8902439,5458,66.56097561,0.479,1489,18.15853659,1936,23.6097561,0.769,933,11.37804878,2486,30.31707317,3419,41.69512195,1745,647,7.890243902,523,6.37804878,1129,13.76829268,1857,8177,99.7,24.3,33,49,-2.71,0.73,-1.98,107.2,110.1,92.2,0.286,0.193,0.537,0.495,12.9,26.9,0.22,0.515,13.6,73.8,0.249
0,82,19855,3027,6739,82.18292683,0.449,759,9.256097561,2038,24.85365854,0.372,2268,27.65853659,4701,57.32926829,0.482,1271,15.5,1670,20.36585366,0.761,870,10.6097561,2437,29.7195122,3307,40.32926829,1641,631,7.695121951,367,4.475609756,1063,12.96341463,1815,8084,98.6,28.3,39,43,-0.79,-0.61,-1.4,108.3,109.1,90.3,0.248,0.302,0.541,0.505,12.5,25.1,0.189,0.514,14,74.3,0.245
1,82,19805,3194,6782,82.70731707,0.471,664,8.097560976,1839,22.42682927,0.361,2530,30.85365854,4943,60.2804878,0.512,1653,20.15853659,2052,25.02439024,0.806,887,10.81707317,2781,33.91463415,3668,44.73170732,1794,678,8.268292683,501,6.109756098,1256,15.31707317,1858,8705,106.2,26.2,58,24,6.34,0.32,6.66,110.5,103.9,95.4,0.303,0.271,0.566,0.52,14,26.5,0.244,0.488,13.9,75.6,0.221
0,82,19955,3022,6784,82.73170732,0.445,563,6.865853659,1596,19.46341463,0.353,2459,29.98780488,5188,63.26829268,0.474,1307,15.93902439,1714,20.90243902,0.763,794,9.682926829,2654,32.36585366,3448,42.04878049,1726,630,7.682926829,350,4.268292683,1222,14.90243902,1678,7914,96.5,24.6,26,56,-5.44,-0.44,-5.88,101.7,107.4,93.6,0.253,0.235,0.525,0.487,13.9,22.4,0.193,0.504,13,75.5,0.211
0,82,19855,3108,7150,87.19512195,0.435,577,7.036585366,1847,22.52439024,0.312,2531,30.86585366,5303,64.67073171,0.477,1362,16.6097561,1918,23.3902439,0.71,949,11.57317073,2556,31.17073171,3505,42.74390244,1791,765,9.329268293,330,4.024390244,1384,16.87804878,1844,8155,99.5,23.4,16,66,-10.45,-0.21,-10.66,99.4,109.9,99.2,0.268,0.258,0.51,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244
